epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.259,1.34673,4.97976,1.52206,0.38992,0.04721,0.01579,0.01215,1.17113,4.00419,1.37442,4.88542e-05,4.88542e-05,4.88542e-05
2,279.993,1.18128,4.26911,1.35812,0.51989,0.0824,0.05281,0.0404,1.09642,3.25809,1.316,9.59167e-05,9.59167e-05,9.59167e-05
3,406.308,1.14657,3.69612,1.33566,0.525,0.11281,0.08223,0.06035,1.13722,3.07705,1.33632,0.000141039,0.000141039,0.000141039
4,534.147,1.11795,3.33838,1.31368,0.62082,0.13717,0.12875,0.09112,1.08992,2.64921,1.29969,0.000138268,0.000138268,0.000138268
5,660.91,1.07712,3.06682,1.28883,0.48178,0.19706,0.15573,0.11398,1.05779,2.52742,1.2808,0.000135358,0.000135358,0.000135358
6,787.506,1.05516,2.8523,1.26942,0.45066,0.22837,0.19899,0.15246,1.02447,2.39627,1.26042,0.000132447,0.000132447,0.000132447
7,913.194,1.04539,2.68939,1.25733,0.38163,0.27987,0.21678,0.16355,1.01986,2.35777,1.25689,0.000129536,0.000129536,0.000129536
8,1039.93,1.02503,2.57324,1.24663,0.47796,0.29427,0.25658,0.19594,1.01883,2.26282,1.23578,0.000126626,0.000126626,0.000126626
9,1165.06,1.02662,2.4474,1.23834,0.45298,0.31621,0.26527,0.20093,0.99792,2.12472,1.22683,0.000123715,0.000123715,0.000123715
10,1289.22,1.00535,2.33757,1.22985,0.50917,0.30042,0.27615,0.20961,1.00453,2.15418,1.22947,0.000120805,0.000120805,0.000120805
11,1414.97,0.99373,2.26402,1.22398,0.48756,0.34102,0.28843,0.22516,0.98907,2.07898,1.21622,0.000117894,0.000117894,0.000117894
12,1538.49,0.98191,2.16961,1.2131,0.51952,0.33713,0.31838,0.24794,0.9776,2.01664,1.20319,0.000114983,0.000114983,0.000114983
13,1665.48,0.97748,2.09405,1.19976,0.49888,0.33591,0.32197,0.24748,0.98283,1.97955,1.21119,0.000112073,0.000112073,0.000112073
14,1790.86,0.96613,2.04003,1.20026,0.51132,0.33028,0.31694,0.23991,0.98917,2.01551,1.21289,0.000109162,0.000109162,0.000109162
15,1914.2,0.96261,1.97647,1.19699,0.50306,0.36827,0.34402,0.26674,0.97256,1.95572,1.20716,0.000106252,0.000106252,0.000106252
16,2040.55,0.96044,1.9337,1.195,0.51201,0.364,0.33998,0.25922,0.97424,1.92098,1.20162,0.000103341,0.000103341,0.000103341
17,2165.84,0.96146,1.87506,1.18607,0.48576,0.38054,0.36769,0.28299,0.97409,1.89226,1.19885,0.00010043,0.00010043,0.00010043
18,2291.51,0.93467,1.81412,1.17849,0.45605,0.39529,0.36398,0.28151,0.97125,1.8574,1.19649,9.75198e-05,9.75198e-05,9.75198e-05
19,2417.12,0.94477,1.80356,1.1852,0.4065,0.41751,0.37387,0.2901,0.96743,1.83241,1.19442,9.46092e-05,9.46092e-05,9.46092e-05
20,2541.61,0.94433,1.74736,1.1743,0.40143,0.3949,0.36669,0.28184,0.97738,1.87089,1.20083,9.16986e-05,9.16986e-05,9.16986e-05
21,2667.58,0.92677,1.73623,1.17132,0.46862,0.4003,0.37927,0.29466,0.96029,1.83272,1.19546,8.8788e-05,8.8788e-05,8.8788e-05
22,2791.96,0.93631,1.67713,1.17141,0.44749,0.432,0.39327,0.30603,0.96993,1.75713,1.19361,8.58774e-05,8.58774e-05,8.58774e-05
23,2915.88,0.91992,1.64742,1.16219,0.487,0.39007,0.38989,0.30402,0.96609,1.82234,1.18671,8.29668e-05,8.29668e-05,8.29668e-05
24,3040.45,0.91758,1.62113,1.16249,0.40865,0.41725,0.37498,0.28992,0.95615,1.83246,1.18106,8.00562e-05,8.00562e-05,8.00562e-05
25,3165.61,0.91337,1.58367,1.15942,0.44181,0.41052,0.37979,0.29175,0.95045,1.82979,1.17981,7.71456e-05,7.71456e-05,7.71456e-05
26,3290.15,0.9074,1.5564,1.15916,0.42865,0.42474,0.39643,0.31166,0.95286,1.81456,1.18197,7.4235e-05,7.4235e-05,7.4235e-05
27,3414.16,0.90818,1.53768,1.15747,0.41307,0.43777,0.3907,0.30764,0.95233,1.82539,1.18405,7.13244e-05,7.13244e-05,7.13244e-05
28,3539.43,0.90515,1.4986,1.15346,0.43098,0.414,0.38508,0.30238,0.94728,1.82325,1.18273,6.84138e-05,6.84138e-05,6.84138e-05
29,3663.71,0.89436,1.49798,1.14897,0.46945,0.42955,0.39759,0.30883,0.95595,1.78209,1.18616,6.55032e-05,6.55032e-05,6.55032e-05
30,3788.56,0.89076,1.4605,1.14068,0.42569,0.43564,0.39204,0.30161,0.95625,1.79668,1.18456,6.25926e-05,6.25926e-05,6.25926e-05
31,3915.08,0.89519,1.45465,1.14099,0.36495,0.47036,0.38905,0.30485,0.95849,1.80519,1.1893,5.9682e-05,5.9682e-05,5.9682e-05
32,4041.02,0.88211,1.4209,1.13524,0.43752,0.42664,0.39816,0.31388,0.95247,1.80869,1.18427,5.67714e-05,5.67714e-05,5.67714e-05
33,4167.33,0.88198,1.3739,1.13354,0.42012,0.44507,0.39651,0.30941,0.94656,1.78745,1.18209,5.38608e-05,5.38608e-05,5.38608e-05
34,4293.34,0.8735,1.37498,1.13178,0.41092,0.47825,0.4082,0.31911,0.95523,1.79281,1.18408,5.09502e-05,5.09502e-05,5.09502e-05
35,4418.16,0.8689,1.36856,1.12754,0.41638,0.45879,0.40026,0.30974,0.95194,1.78769,1.18382,4.80396e-05,4.80396e-05,4.80396e-05
